domain,baseline,control,experimental,baseline/control
pin-up.ua,5.0,0.0,0.0,inf
gazeta.pl,5.0,0.0,0.0,inf
standard.co.uk,5.0,0.0,1.0,inf
ilgiornale.it,2.5,0.0,2.5,inf
theonion.com,4.8,0.0,0.0,inf
asimjofa.com,5.0,0.0,0.0,inf
mainichi.jp,5.0,0.0,0.0,inf
zing.vn,5.0,0.0,0.0,inf
in.gr,2.5,0.0,0.0,inf
redbubble.com,2.0,0.0,0.0,inf
softonic.com,5.0,0.0,0.0,inf
nouvelobs.com,5.0,0.0,0.0,inf
usnews.com,2.142857142857143,0.0,0.0,inf
digikey.com,0.08,0.0,0.0,inf
espn.ph,5.0,0.0,0.0,inf
sarkariexam.com,5.0,0.0,0.0,inf
bet365.it,5.0,0.0,0.0,inf
banki.ru,5.0,0.0,0.0,inf
inquirer.com,2.3333333333333335,0.0,0.0,inf
ruliweb.com,5.0,0.0,0.0,inf
magento.com,0.08,0.0,0.0,inf
jalopnik.com,5.0,0.0,0.0,inf
philly.com,5.0,0.0,1.0,inf
gandul.ro,5.0,0.0,0.0,inf
originalhindiporn.mobi,5.0,0.0,0.0,inf
javtiful.com,5.0,0.0,0.0,inf
abola.pt,5.0,0.0,0.0,inf
1377x.to,4.934782608695652,0.0,0.0,inf
3gpking.name,5.0,0.0,0.0,inf
tum.de,5.0,0.0,0.0,inf
fortinet.net,5.0,0.0,0.0,inf
rp.pl,5.0,0.0,0.0,inf
c5n.com,3.6666666666666665,0.0,0.0,inf
usertesting.com,5.0,0.0,0.0,inf
ayobandung.com,1.0,0.0,0.0,inf
emlakjet.com,5.0,0.0,0.0,inf
wiley.com,5.0,0.0,0.0,inf
espn.com,2.5,0.0,0.0,inf
acronis.com,5.0,0.0,0.0,inf
hipages.com.au,5.0,0.0,0.0,inf
www.gov.br,5.0,0.0,0.0,inf
wish.com,5.0,0.0,0.0,inf
snowflake.com,5.0,0.0,0.0,inf
optimizely.com,5.0,0.0,0.0,inf
elo7.com.br,5.0,0.0,0.0,inf
jagran.com,5.0,0.0,0.0,inf
boat-lifestyle.com,1.25,0.0,0.0,inf
scene7.com,0.5,0.0,0.0,inf
nab.com.au,5.0,0.0,0.0,inf
telegraph.co.uk,5.0,0.0,0.0,inf
oxfordjournals.org,4.5,0.0,0.0,inf
liberation.fr,0.16666666666666666,0.0,0.0,inf
buumal.com,5.0,0.0,0.0,inf
express.de,5.0,0.0,0.0,inf
wfp.org,5.0,0.0,0.0,inf
stackadapt.com,5.0,0.0,0.0,inf
nine.com.au,5.0,0.0,0.0,inf
scmp.com,5.0,0.0,0.0,inf
heute.at,5.0,0.0,0.0,inf
sportingnews.com,5.0,0.0,0.0,inf
amazon.sa,5.0,0.0,0.0,inf
bolha.com,5.0,0.0,0.0,inf
nhl.com,5.0,0.0,0.0,inf
lavoz.com.ar,5.0,0.0,0.3333333333333333,inf
elsob7.com,5.0,0.0,0.0,inf
espn.com.ve,5.0,0.0,0.0,inf
mangaku.mom,5.0,0.0,0.0,inf
flashscore.com.ng,5.0,0.0,0.0,inf
nasa.gov,4.875,0.0,0.0,inf
etoland.co.kr,5.0,0.0,0.0,inf
brown.edu,5.0,0.0,0.0,inf
espn.com.br,1.25,0.0,0.0,inf
gamemania.co.ke,4.36,0.0,0.0,inf
hsn.com,5.0,0.0,4.0,inf
gigya.com,0.2777777777777778,0.0,0.0,inf
hindawi.com,5.0,0.0,0.8,inf
harvard.edu,5.0,0.0,0.0,inf
f2pool.com,5.0,0.0,0.0,inf
samsara.com,5.0,0.0,0.0,inf
mindbodygreen.com,3.0,0.0,0.0,inf
hotmovs.com,5.0,0.0,0.0,inf
phimsexviet.one,3.2058823529411766,0.0,0.0,inf
flashscore.pe,5.0,0.0,0.0,inf
rai.it,5.0,0.0,0.0,inf
recruit.co.jp,5.0,0.0,0.0,inf
labanquepostale.fr,5.0,0.0,0.0,inf
nbcsports.com,5.0,0.0,0.0,inf
qualys.com,5.0,0.0,0.0,inf
beinsports.com.tr,5.0,0.0,0.0,inf
mediatek.com,4.074074074074074,0.0,0.0,inf
tunwalai.com,5.0,0.0,0.0,inf
level3.net,5.0,0.0,0.0,inf
wapoz.info,5.0,0.0,0.0,inf
hitomi.la,0.11627906976744186,0.0,0.0,inf
louisvuitton.com,0.12,0.0,0.0,inf
webxseries.com,5.0,0.0,0.0,inf
telstra.com,5.0,0.0,5.0,inf
gaimup.net,5.0,0.0,0.0,inf
ring.net,5.0,0.0,0.0,inf
n1info.rs,0.8333333333333334,0.0,0.8333333333333334,inf
goindian.net,5.0,0.0,0.3333333333333333,inf
spicychat.ai,5.0,0.0,4.0,inf
ge.com,5.0,0.0,0.0,inf
uefa.com,5.0,0.0,0.0,inf
diariouno.com.ar,5.0,0.0,0.0,inf
theculturetrip.com,5.0,0.0,0.0,inf
phimxxxhay.com,4.172413793103448,0.0,0.0,inf
dailykos.com,5.0,0.0,0.0,inf
nsw.gov.au,5.0,0.0,0.0,inf
utah.edu,5.0,0.0,0.0,inf
ceneo.pl,5.0,0.0,0.0,inf
sophos.com,4.944444444444445,0.05555555555555555,0.05555555555555555,89.00000000000001
irancell.ir,4.846153846153846,0.07692307692307693,0.38461538461538464,62.99999999999999
ecwid.com,5.0,0.08333333333333333,1.0,60.0
pingone.com,5.0,0.1111111111111111,0.1111111111111111,45.0
monsnode.com,5.0,0.1111111111111111,0.0,45.0
fortinet.com,5.0,0.1111111111111111,0.1111111111111111,45.0
techopedia.com,4.5,0.125,0.125,36.0
abplive.com,5.0,0.14285714285714285,0.14285714285714285,35.0
telegraf.com.ua,5.0,0.14285714285714285,0.14285714285714285,35.0
warau.jp,5.0,0.14285714285714285,0.14285714285714285,35.0
spboss.blog,4.906976744186046,0.16279069767441862,0.16279069767441862,30.14285714285714
amazon.co.jp,5.0,0.16666666666666666,0.16666666666666666,30.0
sc.edu,5.0,0.16666666666666666,0.20833333333333334,30.0
ubs.com,5.0,0.16666666666666666,0.5,30.0
ticketmaster.com,3.4705882352941178,0.11764705882352941,0.11764705882352941,29.5
snapinsta.app,3.4878048780487805,0.12195121951219512,0.12195121951219512,28.6
onedrive.com,4.928571428571429,0.17857142857142858,0.17857142857142858,27.6
ualberta.ca,4.782608695652174,0.17391304347826086,0.17391304347826086,27.5
3xxx.pro,5.0,0.18181818181818182,0.18181818181818182,27.5
xxxvideo.best,4.5,0.16666666666666666,0.16666666666666666,27.0
iucn.org,5.0,0.2,0.2,25.0
clip2vip.com,5.0,0.2,0.8,25.0
unesco.org,5.0,0.2,0.2,25.0
sapsf.com,0.5952380952380952,0.023809523809523808,0.0,25.0
hrw.org,5.0,0.2,0.2,25.0
souspark.ru,5.0,0.2,2.4,25.0
vanderbilt.edu,4.933333333333334,0.2,0.2,24.666666666666668
kodak.com,3.4285714285714284,0.14285714285714285,0.14285714285714285,24.0
dpbossx.net,4.738095238095238,0.21428571428571427,0.21428571428571427,22.111111111111114
the-ozone-project.com,3.8947368421052633,0.18421052631578946,0.18421052631578946,21.142857142857146
petfinder.com,4.666666666666667,0.2222222222222222,0.0,21.000000000000004
ixxx.onl,5.0,0.23809523809523808,0.23809523809523808,21.0
roku.com,5.0,0.24324324324324326,0.24324324324324326,20.555555555555554
tds.net,5.0,0.25,0.25,20.0
freshservice.com,5.0,0.25,0.25,20.0
laser247.online,5.0,0.25,0.2222222222222222,20.0
amazon.com,5.0,0.25,1.5,20.0
themegrill.com,4.181818181818182,0.21212121212121213,0.21212121212121213,19.71428571428571
utah.gov,5.0,0.2608695652173913,0.2608695652173913,19.166666666666668
cricheroes.in,4.5,0.25,0.25,18.0
gitlab.io,5.0,0.2857142857142857,0.2857142857142857,17.5
uwaterloo.ca,5.0,0.2857142857142857,0.2857142857142857,17.5
alfabank.ru,5.0,0.2857142857142857,0.2857142857142857,17.5
sway.com,4.3125,0.25,0.75,17.25
clemson.edu,5.0,0.3,0.3,16.666666666666668
shopee.com.br,1.8055555555555556,0.1111111111111111,0.3611111111111111,16.25
intuit.com,4.9375,0.3125,0.3125,15.8
eukdns.com,2.511627906976744,0.16279069767441862,0.16279069767441862,15.428571428571427
ruhr24.de,5.0,0.3333333333333333,0.3333333333333333,15.0
gamingbible.com,5.0,0.3333333333333333,0.3333333333333333,15.0
findlaw.com,5.0,0.3333333333333333,0.3333333333333333,15.0
fedoraproject.org,5.0,0.3333333333333333,0.3333333333333333,15.0
flashscore.com.tr,5.0,0.3333333333333333,0.3333333333333333,15.0
shooshtime.com,5.0,0.3333333333333333,1.0,15.0
flashscore.com.ua,5.0,0.3333333333333333,0.3333333333333333,15.0
thewrap.com,5.0,0.3333333333333333,0.3333333333333333,15.0
mofa.gov.sa,5.0,0.3333333333333333,0.3333333333333333,15.0
bmo.com,4.777777777777778,0.3333333333333333,0.2962962962962963,14.333333333333334
xxxpor.org,5.0,0.35,0.35,14.285714285714286
mediago.io,5.0,0.35294117647058826,0.35294117647058826,14.166666666666666
instanavigation.com,4.212121212121212,0.30303030303030304,0.30303030303030304,13.899999999999999
jumpcloud.com,5.0,0.375,0.375,13.333333333333334
nfpa.org,5.0,0.3870967741935484,0.3870967741935484,12.916666666666668
fao.org,4.833333333333333,0.375,0.375,12.888888888888888
womenshealthmag.com,4.923076923076923,0.38461538461538464,0.38461538461538464,12.8
mdpi.com,5.0,0.4,0.4,12.5
milf300.com,5.0,0.4,0.4,12.5
spaceweb.ru,5.0,0.4,0.4,12.5
equifax.com,5.0,0.4,0.4,12.5
ftc.gov,5.0,0.4,0.4,12.5
mcm.ru,3.0,0.25,0.0,12.0
bstatic.com,1.2,0.1,0.0,11.999999999999998
otvfoco.com.br,5.0,0.42857142857142855,0.42857142857142855,11.666666666666668
freshchat.com,5.0,0.42857142857142855,0.42857142857142855,11.666666666666668
word.tips,4.705882352941177,0.4117647058823529,0.4117647058823529,11.428571428571429
dpbosss.com,4.75,0.4166666666666667,0.4166666666666667,11.4
masrawy.com,5.0,0.4444444444444444,1.0,11.25
sweb.ru,5.0,0.45,0.45,11.11111111111111
mouseflow.com,3.6666666666666665,0.3333333333333333,0.3333333333333333,11.0
iowa.gov,4.4,0.4,0.4,11.0
ushmm.org,4.78125,0.4375,0.6875,10.928571428571429
utk.edu,4.527777777777778,0.4166666666666667,0.4166666666666667,10.866666666666665
islamweb.net,5.0,0.46153846153846156,0.46153846153846156,10.833333333333332
iesnare.com,5.0,0.46153846153846156,0.46153846153846156,10.833333333333332
1drv.com,5.0,0.4642857142857143,0.4642857142857143,10.769230769230768
cigna.com,5.0,0.4642857142857143,0.4642857142857143,10.769230769230768
reasonsecurity.com,5.0,0.4666666666666667,0.4666666666666667,10.714285714285714
connatix.com,5.0,0.47058823529411764,0.47058823529411764,10.625
thepioneerwoman.com,5.0,0.47058823529411764,0.47058823529411764,10.625
belkin.com,1.6153846153846154,0.15384615384615385,0.15384615384615385,10.5
editalconcursosbrasil.com.br,4.2,0.4,0.4,10.5
oremanga.net,4.894736842105263,0.47368421052631576,0.47368421052631576,10.333333333333334
hybrid.ai,4.7894736842105265,0.47368421052631576,0.47368421052631576,10.111111111111112
sunista.info,4.826086956521739,0.4782608695652174,0.43478260869565216,10.090909090909092
sltrib.com,3.3333333333333335,0.3333333333333333,0.3333333333333333,10.000000000000002
cloudez.io,5.0,0.5,0.7,10.0
consumerreports.org,5.0,0.5,0.5,10.0
perimeterx.net,5.0,0.5,0.5,10.0
geeksforgeeks.org,5.0,0.5,0.5,10.0
eleconomista.es,5.0,0.5,0.5,10.0
korrespondent.net,5.0,0.5,0.25,10.0
homedepot.com.mx,5.0,0.5,0.75,10.0
foxsports.com,5.0,0.5,1.5,10.0
variety.com,5.0,0.5,0.75,10.0
turkcell.com.tr,5.0,0.5,0.5,10.0
popularmechanics.com,5.0,0.5,0.5,10.0
honeywell.com,5.0,0.5,0.5,10.0
thriftbooks.com,5.0,0.5,0.5,10.0
cybertyrant.com,5.0,0.5,0.5,10.0
mercari.com,5.0,0.5,3.0,10.0
unfccc.int,5.0,0.5,0.5,10.0
zalando.pl,5.0,0.5,0.5,10.0
eiga.com,4.285714285714286,0.42857142857142855,0.42857142857142855,10.0
togetter.com,5.0,0.5,0.6666666666666666,10.0
kotaku.com,5.0,0.5,0.5,10.0
laodong.vn,5.0,0.5,0.5,10.0
wikifx.com,5.0,0.5,0.5,10.0
flashscore.com.ve,5.0,0.5,0.5,10.0
imdb.com,5.0,0.5,0.5,10.0
pavv.co.kr,5.0,0.5,0.5,10.0
slobodnadalmacija.hr,5.0,0.5,0.5,10.0
fema.gov,4.928571428571429,0.5,0.5,9.857142857142858
meitu.com,4.724137931034483,0.4827586206896552,0.4827586206896552,9.785714285714286
christies.com,4.875,0.5,0.0,9.75
javatpoint.com,4.75,0.5,1.5,9.5
journaldemontreal.com,5.0,0.5294117647058824,0.5294117647058824,9.444444444444445
panasonic.com,5.0,0.5333333333333333,0.5333333333333333,9.375
nottingham.ac.uk,4.666666666666667,0.5,0.5,9.333333333333334
dailymotion.com,5.0,0.5454545454545454,0.9090909090909091,9.166666666666668
entrepreneur.com,5.0,0.5454545454545454,0.5454545454545454,9.166666666666668
uiowa.edu,5.0,0.5555555555555556,0.5555555555555556,9.0
musicdel.ir,5.0,0.5555555555555556,0.5555555555555556,9.0
wipo.int,4.92,0.56,0.56,8.785714285714285
xxxvideo.link,4.515151515151516,0.5151515151515151,0.5151515151515151,8.764705882352942
azure.net,5.0,0.5714285714285714,0.42857142857142855,8.75
kraken.com,5.0,0.5769230769230769,0.9615384615384616,8.666666666666668
pornhat.com,5.0,0.5789473684210527,0.5263157894736842,8.636363636363637
tmohentai.com,3.5294117647058822,0.4117647058823529,0.4117647058823529,8.571428571428571
warframe.com,5.0,0.5833333333333334,1.6666666666666667,8.571428571428571
