domain,easylist_requests
twitter.com,2
icloud.com,0
doubleclick.net,7
googlevideo.com,8
linkedin.com,2
google.com,2
netflix.com,4
cloudflare.com,40
wikipedia.org,324
fastly.net,54
microsoft.com,26
gstatic.com,0
facebook.com,2
googleapis.com,0
googleusercontent.com,0
live.com,28
googletagmanager.com,0
apple.com,0
instagram.com,0
office.com,0
bing.com,36
wordpress.org,1
ui.com,25
google-analytics.com,7
github.com,0
fbcdn.net,0
adobe.com,241
windows.net,0
googlesyndication.com,9
pinterest.com,0
gandi.net,0
amazonaws.com,0
azure.com,29
amazon.com,114
spotify.com,2
sharepoint.com,28
goo.gl,2
yandex.net,0
bit.ly,7
ntp.org,7
wordpress.com,11
cloudflare.net,29
whatsapp.net,0
whatsapp.com,0
mail.ru,2
blogspot.com,0
digicert.com,24
yahoo.com,1610
tiktokv.com,0
cloudflare-dns.com,0
mozilla.org,1
skype.com,0
roblox.com,0
zoom.us,36
epicgames.com,0
app-measurement.com,0
vimeo.com,5
yandex.ru,0
googledomains.com,1
opera.com,19
snapchat.com,0
outlook.com,24
one.one,5
office365.com,30
europa.eu,0
qq.com,0
comcast.net,0
intuit.com,39
nih.gov,1
macromedia.com,28
gravatar.com,1
netflix.net,2
github.io,0
windows.com,33
vk.com,1
flickr.com,3
nic.ru,8
baidu.com,0
apache.org,0
googleadservices.com,0
criteo.com,147
lencr.org,0
dropbox.com,0
sentry.io,0
unity3d.com,144
amazonvideo.com,0
registrar-servers.com,3
sberdevices.ru,0
stbid.ru,12
soundcloud.com,36
rubiconproject.com,1
paypal.com,0
nytimes.com,292
webex.com,59
zemanta.com,7
t.co,1
miit.gov.cn,0
w3.org,1
gmail.com,0
forms.gle,15
applovin.com,14
t.me,0
samsung.com,57
salesforce.com,15
dns.google,0
tds.net,1160
omtrdc.net,28
facebook-hardware.com,0
demdex.net,0
att.net,0
meraki.com,56
salesforceliveagent.com,39
cnn.com,1556
health.mil,0
comfortel.pro,0
taboola.com,23
pubmatic.com,62
adobe.io,0
xiaomi.com,16
casalemedia.com,1
medium.com,0
ebay.com,51
appsflyer.com,32
mcafee.com,8
theguardian.com,546
googleblog.com,5
rambler.ru,3
creativecommons.org,0
mzstatic.com,0
userapi.com,4
slack.com,128
sourceforge.net,168
mit.edu,2
discord.com,0
smartadserver.com,8
myfritz.net,0
nginx.org,10
ubuntu.com,0
miui.com,0
scorecardresearch.com,1
hipages.com.au,3
sciencedirect.com,2
nflxvideo.net,2
nginx.com,12
kaspersky.com,21
telefonica.de,2
researchgate.net,41
appcenter.ms,0
wixsite.com,35
youtube-nocookie.com,2
telecid.ru,8
hubspot.com,49
twitch.tv,13
cisco.com,16
imdb.com,735
reuters.com,735
issuu.com,9
who.int,5
wikimedia.org,0
ampproject.org,4
tinyurl.com,408
b-cdn.net,0
oracle.com,4
openx.net,7
doubleverify.com,1
cdc.gov,4
grammarly.com,50
android.com,18
weebly.com,51
mozilla.com,1
launchdarkly.com,68
wp.com,7
360yield.com,2
drom.ru,1
roku.com,12
doi.org,2
3lift.com,9
weibo.com,9
comcast.com,151
go.com,135
googletagservices.com,7
washingtonpost.com,243
www.gov.uk,0
sharethrough.com,2
ibm.com,29
media.net,10
slideshare.net,656
opendns.com,24
etsy.com,24
google.com.br,13
adsrvr.org,1
booking.com,34
teamviewer.com,0
dnsmadeeasy.com,9
nist.gov,0
wsj.com,0
moatads.com,8
canva.com,13
reg.ru,70
google.de,8
wildberries.ru,0
t-mobile.com,24
shopify.com,28
bloomberg.com,0
checkpoint.com,0
trendmicro.com,33
harvard.edu,2
google.co.uk,11
vungle.com,6
force.com,34
indeed.com,37
adriver.ru,9
nature.com,133
branch.io,9
avast.com,5
quantserve.com,0
steampowered.com,0
crashlytics.com,12
godaddy.com,23
lijit.com,0
springer.com,7
dotomi.com,67
eset.com,38
azurefd.net,0
datadoghq.com,72
php.net,0
un.org,11
espn.com,436
wiley.com,34
dailymotion.com,892
wbx2.com,85
stanford.edu,2
clarity.ms,2
elasticbeanstalk.com,0
outbrain.com,11
ea.com,4
quora.com,1
1c.ru,1
inmobi.com,102
unsplash.com,196
discord.gg,0
yahoo.co.jp,6
mi.com,13
netangels.ru,8
stackoverflow.com,0
elisa.fi,14
gnu.org,0
cpanel.net,5
sohu.com,720
nease.net,0
nasa.gov,0
ozon.ru,0
dell.com,11
xboxlive.com,23
giphy.com,1
cmediahub.ru,10
badoo.com,0
aliexpress.com,110
teads.tv,1
openai.com,0
example.com,0
eventbrite.com,47
hicloud.com,0
linktr.ee,4
ups.com,22
wix.com,94
statista.com,94
chinamobile.com,0
globo.com,162
taobao.com,0
arubanetworks.com,11
ring.com,22
sophos.com,16
blogger.com,0
g.page,1
att.com,27
ngenix.net,0
addtoany.com,0
alibaba.com,38
autodesk.com,12
shipt.com,86
telegraph.co.uk,228
gosuslugi.ru,228
hostgator.com,11
myshopify.com,0
gamepass.com,26
